Orbit,AOCH532,TAU532
 36920,  1.59,  0.05
 36921,  1.66,  0.06
 36935,  0.98,  0.11
 36949,  1.33,  0.14
 36963,  1.28,  0.05
 36977,  1.54,  0.07
 36991,  1.10,  0.07
 37006,  1.19,  0.07
 37020,  1.30,  0.07
 37034,  1.22,  0.07
 37048,  1.18,  0.08
 37062,  1.20,  0.05
 37063,  1.31,  0.05
 37076,  1.19,  0.06
 37077,  1.37,  0.07
 37091,  0.69,  0.06
 37105,  0.82,  0.12
 37119,  0.78,  0.21
 37133,  1.34,  0.04
 37147,  1.41,  0.06
 37148,  1.38,  0.08
 37162,  1.31,  0.09
 37176,  1.43,  0.08
 37190,  0.81,  0.13
 37204,  1.54,  0.05
 37218,  1.12,  0.09
 37219,  1.20,  0.16
 37232,  0.97,  0.06
 37233,  1.20,  0.07
 37247,  1.10,  0.18
 37261,  1.31,  0.05
 37275,  1.18,  0.04
 37289,  1.19,  0.06
 37290,  1.26,  0.07
 37303,  1.38,  0.20
 37304,  1.17,  0.18
 37318,  0.92,  0.15
 37332,  0.76,  0.15
 37346,  1.15,  0.07
 37360,  0.97,  0.11
 37374,  1.24,  0.09
 37375,  1.25,  0.08
 37389,  1.42,  0.04
 37403,  1.22,  0.07
