date,orbit,filename,line,column,uvai,mpl_z1,sd_mpl_z1,mpl_n1,mpl_z2,sd_mpl_z2,mpl_n2,m2_aoch532,m2_aod532
2022-06-20 18:28:55,24280,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0620t180721-o24280_v01-2022m0621t184102.nc, 2305, 425, 0.33, 1.77, 0.11,111, 1.69, 0.41, 60,2.45,0.13
2022-06-21 18:09:53,24294,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0621t174820-o24294_v01-2022m0623t051322.nc, 2305, 381, 0.77, 2.28, 0.06, 82, 2.25, 0.26, 21,1.31,0.38
2022-06-22 17:50:53,24308,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0622t172918-o24308_v01-2022m0623t193053.nc, 2311, 305, 0.35, 0.82, 0.08, 30, 0.82, 0.08,  1,1.36,0.42
2022-06-26 16:34:45,24364,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0626t161310-o24364_v01-2022m0627t182735.nc, 2425,  11, 0.01, 1.81, 0.06,105, 1.64, 0.25, 60,1.92,0.20
2022-06-26 18:16:15,24365,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0626t175440-o24365_v01-2022m0627t182904.nc, 2307, 399, 0.11, 1.70, 0.05, 98, 1.64, 0.25, 40,1.96,0.19
2022-06-28 17:38:10,24393,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0628t171636-o24393_v01-2022m0629t194139.nc, 2326, 235, 0.18, 1.35, 0.24, 94, 1.23, 0.29, 40,1.83,0.11
2022-06-29 17:19:07,24407,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0629t165733-o24407_v01-2022m0630t171459.nc, 2350, 132,-0.34, 1.48, 0.05,106, 1.39, 0.29, 60,1.59,0.16
2022-06-30 17:00:05,24421,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0630t163831-o24421_v01-2022m0701t175258.nc, 2381,  63, 0.02, 1.44, 0.04, 94, 1.28, 0.18, 44,1.68,0.13
2022-07-01 16:41:02,24435,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0701t161928-o24435_v01-2022m0702t174236.nc, 2419,  25,-0.21, 1.69, 0.05, 97, 1.56, 0.19, 60,1.73,0.19
2022-07-01 18:22:32,24436,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0701t180058-o24436_v01-2022m0702t180756.nc, 2313, 413, 0.26, 1.87, 0.05, 72, 1.79, 0.15, 17,1.80,0.22
2022-07-02 18:03:29,24450,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0702t174155-o24450_v01-2022m0703t174219.nc, 2317, 360, 0.82, 1.63, 0.06, 80, 1.60, 0.19, 19,1.79,0.21
2022-07-04 17:25:24,24478,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0704t170349-o24478_v01-2022m0705t185758.nc, 2350, 164,-0.19, 1.89, 0.06,107, 1.80, 0.35, 60,1.59,0.10
2022-07-11 16:53:29,24577,TROPOMI-Sentinel-5P_L2-TROPOMAER_2022m0711t163155-o24577_v01-2022m0714t130842.nc, 2417,  48, 0.29, 1.57, 0.24,115, 1.19, 0.24, 60,1.26,0.12
